time_s,displacement_m
2.560771022727272861e-01,7.264563991191054938e-05
2.560997727272727453e-01,7.806238354684624618e-05
2.561224431818182046e-01,8.315628353326857448e-05
2.561451278409090926e-01,8.788958799292398850e-05
2.561677982954545518e-01,9.211649656841936938e-05
2.561904829545454398e-01,9.571854646937274450e-05
2.562131534090908991e-01,9.875692177433307889e-05
2.562358238636363583e-01,1.012290189054897523e-04
2.562585085227272463e-01,1.031244235516003653e-04
2.562811789772727056e-01,1.044379285570437994e-04
2.563038494318181648e-01,1.051747410774412137e-04
2.563265340909091083e-01,1.053127307014025668e-04
2.563492045454545676e-01,1.049521351746356254e-04
2.563718892045454556e-01,1.042023047651852592e-04
2.563945596590909148e-01,1.030931806178732752e-04
2.564172301136363741e-01,1.016963611224909296e-04
2.564399147727272621e-01,1.000066391234170091e-04
2.564625852272727213e-01,9.806957723233690645e-05
2.564852556818181806e-01,9.589689154939827714e-05
2.565079403409090686e-01,9.350680711927523221e-05
2.565306107954545278e-01,9.093707582022139875e-05
2.565532954545454714e-01,8.819681017457379839e-05
2.565759659090909306e-01,8.531074417153307918e-05
2.565986363636363898e-01,8.226976528876216524e-05
2.566213210227272778e-01,7.909340035984049129e-05
2.566439914772727371e-01,7.578946011819982309e-05
2.566666619318181963e-01,7.238918749756727787e-05
2.566893465909090843e-01,6.894855942087056667e-05
2.567120170454545436e-01,6.548710272168911065e-05
2.567346875000000028e-01,6.205819074514005486e-05
2.567573721590908908e-01,5.870738610290875825e-05
2.567800426136363501e-01,5.545812099529050454e-05
2.568027272727272936e-01,5.233512941148596209e-05
2.568253977272727528e-01,4.925770043936677860e-05
2.568480681818181566e-01,4.618808220067934731e-05
2.568707528409091001e-01,4.313799079557135752e-05
2.568934232954545593e-01,4.008920117936867105e-05
2.569160937500000186e-01,3.704952408550306044e-05
2.569387784090909066e-01,3.403588276974334019e-05
2.569614488636363658e-01,3.104437186537368164e-05
2.569841335227272539e-01,2.808410389473109967e-05
2.570068039772727131e-01,2.518111463592153206e-05
2.570294744318181723e-01,2.229895399959670588e-05
2.570521590909091159e-01,1.947277028619958059e-05
2.570748295454545196e-01,1.663877583937070309e-05
2.570974999999999788e-01,1.374359731399291140e-05
2.571201846590909224e-01,1.072344705370671856e-05
2.571428551136363816e-01,7.452051534698463297e-06
2.571655255681818408e-01,4.098643314656554107e-06
2.571882102272727288e-01,6.462991378121745800e-07
2.572108806818181881e-01,-2.903679206929372593e-06
2.572335653409090761e-01,-6.447148607144465174e-06
2.572562357954545353e-01,-1.007783786401436527e-05
2.572789062499999946e-01,-1.371894143212662508e-05
2.573015909090908826e-01,-1.737566646710243502e-05
2.573242613636363418e-01,-2.106493622471064859e-05
2.573469318181818011e-01,-2.468000401471699939e-05
2.573696164772727446e-01,-2.826122529318564325e-05
2.573922869318182038e-01,-3.174741598156772697e-05
2.574149715909090919e-01,-3.510472956832550633e-05
2.574376420454545511e-01,-3.837742687623907763e-05
2.574603125000000103e-01,-4.146396837069533020e-05
2.574829971590908984e-01,-4.437867372965255999e-05
2.575056676136363576e-01,-4.707728213033069781e-05
2.575283380681818168e-01,-4.944393436015837772e-05
2.575510227272727048e-01,-5.146561253008274261e-05
2.575736931818181641e-01,-5.296397156007815143e-05
2.575963778409091076e-01,-5.384658443786867780e-05
2.576190482954545669e-01,-5.413558157484434953e-05
2.576417187500000261e-01,-5.385960232692165687e-05
2.576644034090909141e-01,-5.302125027191117258e-05
2.576870738636363733e-01,-5.161271467638117158e-05
2.577097443181818326e-01,-4.967044562967984887e-05
2.577324289772727206e-01,-4.716320019808022275e-05
2.577550994318181798e-01,-4.420032864962703412e-05
2.577777840909090679e-01,-4.088987946345988995e-05
2.578004545454545271e-01,-3.726049199549530757e-05
2.578231249999999863e-01,-3.334601275727092957e-05
2.578458096590909299e-01,-2.907484335899550323e-05
2.578684801136363891e-01,-2.439361045555193093e-05
2.578911505681817928e-01,-1.928669258007663034e-05
2.579138352272727364e-01,-1.388036325638329747e-05
2.579365056818181956e-01,-8.203261840388442898e-06
2.579591903409090836e-01,-2.257991909902677931e-06
2.579818607954545429e-01,3.846096267029190046e-06
2.580045312500000021e-01,1.016237603552424552e-05
2.580272159090908901e-01,1.660623111673830286e-05
2.580498863636363494e-01,2.314772036584954903e-05
2.580725568181818086e-01,2.978554199395265866e-05
2.580952414772727521e-01,3.640253499957106075e-05
2.581179119318181558e-01,4.301301906066296314e-05
2.581405965909090994e-01,4.952196358714180908e-05
2.581632670454545586e-01,5.585777018921631536e-05
2.581859375000000179e-01,6.199961024440176426e-05
